id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38904902,Tiny home nestled under large beautiful oak trees,73916418,Lori,,78736,30.23213,-97.89664,Entire home/apt,148,2,6,2021-09-06,5.62,1,139,6,
38906614,Paradise away from home just 8mins from the domain,297974485,Joshua,,78727,30.43943,-97.73435,Private room,50,1,10,2020-03-06,0.43,1,155,0,
38907813,ERICK MASTER SUITE,296334798,Erick,,78754,30.35923,-97.64701,Private room,80,1,1,2021-02-17,0.14,7,156,1,
38908134,Spacious home near SoCo and Downtown,11314146,Jennifer,,78747,30.15687,-97.75621,Private room,60,2,35,2021-09-06,1.87,2,56,24,
38925280,Bohemian Treehouse Oasis Over Lake Travis - Views!,244114590,Erin,,78734,30.40927,-97.91472,Entire home/apt,200,28,4,2020-01-09,0.18,1,0,0,
38926928,The Tree House,203258815,Edwin,,78734,30.39521,-97.92908,Private room,49,2,2,2019-11-03,0.09,1,0,0,
38927957,Suite Serenity in Austin,107412207,Pwl,,78741,30.22048,-97.708,Entire home/apt,88,1,30,2021-09-04,5.45,7,147,30,
38931892,"Trails Pool Office, Walk to Sushi & Thai, NWAustin",97503385,Laurie & Dave,,78729,30.46717,-97.76193,Entire home/apt,105,60,4,2021-01-31,0.31,2,132,2,
38934574,"Bright & Modern SoCo Retreat, Minutes from DT!",6944793,Lauren,,78704,30.2338,-97.76229,Entire home/apt,281,2,117,2021-08-29,42.80,1,194,61,
38935608,NEW: EAST ATOMIC RANCH Large Modern&2 bonus houses,5744816,Lu,,78702,30.27925,-97.70192,Entire home/apt,457,1,7,2021-08-29,0.57,3,326,6,
38948903,Exclusive Downtown Austin Resort,180180759,Courtney,,78701,30.27229,-97.74677,Entire home/apt,170,1,0,,,1,0,0,
38958762,CAR-nnoisseur Casa w/SPA and incredible views!,25916471,Dan,,78731,30.31792,-97.75073,Entire home/apt,211,2,14,2021-01-03,0.66,1,72,7,
38959275,Nature Retreat at Carson Creek Ranch,9316080,Joan,,78742,30.22823,-97.66092,Entire home/apt,150,2,18,2021-08-23,0.77,6,64,14,
38959443,"East Side Gem, SuperHost 1000+ 5 Stars (M)",18668621,Peter,,78702,30.26639,-97.71871,Entire home/apt,164,1,37,2021-09-06,1.98,3,24,31,
