id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50767445,Stay In Style | Cute & Walkable Back House,410169720,Jason,,78702,30.25654,-97.72375,Entire home/apt,52,1,38,2021-11-29,7.40,3,333,38,
50767849,Peaceful Bungalow in Hip East Austin,343836805,Juno,,78721,30.27151,-97.68643,Entire home/apt,125,2,24,2021-12-05,4.47,24,86,24,
50768087,Stay In Style | Tranquil & Private 2-Home Compound,410169720,Jason,,78702,30.25859,-97.72388,Entire home/apt,126,1,3,2021-10-17,0.95,3,319,3,
50772497,Nicky's place,1927941,Nicky,,78724,30.30106,-97.64286,Entire home/apt,256,2,18,2021-11-07,3.42,3,78,18,
50773333,The Georgian | Spacious Studio w/ Private Entrance,25967855,Lynn & Mario,,78753,30.35901,-97.69497,Entire home/apt,72,2,16,2021-11-30,3.02,1,255,16,
50773990,Enjoy vibrant Rainey Street.,346462009,Brandt,,78701,30.25867,-97.73972,Entire home/apt,143,1,23,2021-11-05,5.80,1,0,23,
50774700,Ladybird West | Sophisticated 1BR with Lake Access,407710536,Oasis,,78741,30.245651,-97.730042,Entire home/apt,190,30,0,,,6,0,0,
50775264,Spacious 1 bedroom Wyndham Austin,104401000,Maxx,,78701,30.27049,-97.74834,Entire home/apt,388,2,0,,,2,115,0,
50775658,"""Retreat, Reset and Revive In The Heart Of Austin""",3975816,Lauren,,78741,30.24048,-97.73065,Entire home/apt,110,3,2,2021-11-28,0.45,1,16,2,
50777951,Modern South Austin 1st Floor Unit with Yard,53296673,Kirsten,,78744,30.16829,-97.76887,Entire home/apt,125,2,3,2021-10-03,0.71,1,344,3,
50785161,All-inclusive apartment home | 2BR in Austin,368944610,Carolyn,,78758,30.39968,-97.72599,Entire home/apt,239,31,0,,,48,365,0,
50790623,2 Bedroom Downtown Wyndham Austin,104401000,Maxx,,78701,30.27239,-97.74684,Entire home/apt,488,2,0,,,2,88,0,
50791196,🎄Dec Discounts!🌿Peaceful Plant-filled Bungalow🌿,3939302,Naya,,78744,30.16596,-97.76975,Entire home/apt,66,2,17,2021-11-30,3.29,2,171,17,
50791372,WanderJaunt | Vance | Luxe Studio | East Riverside,104309976,WanderJaunt,,78741,30.23578,-97.72431,Entire home/apt,226,1,6,2021-08-22,1.13,132,218,6,
